"Date","Open","High","Low","Close","a","b"
"26/01/2009",7714.26,7807.16,7671.04,7682.14,7710.76803135887,"ETS(M,N,N)"
"27/01/2009",7782.9,8115.15,7782.07,8061.07,7968.44728749726,"ETS(A,N,N)"
"28/01/2009",8052.25,8171.63,7936.59,8106.29,8075.9480173436,"ETS(A,N,N)"
"29/01/2009",8201.16,8305.38,8138.99,8251.24,8210.11350510369,"ETS(M,N,N)"
"30/01/2009",8142.88,8142.88,7922.39,7994.05,8030.82199410549,"ETS(A,N,N)"
"02/02/2009",7908.51,7955.75,7795.27,7873.98,7891.02104222041,"ETS(A,N,N)"
"03/02/2009",7862.95,8084.41,7800.8,7825.51,7832.19400807949,"ETS(A,N,N)"
"04/02/2009",7897.24,8084.97,7863.65,8038.94,8014.71941563375,"ETS(A,N,N)"
"05/02/2009",7985.53,8093.96,7901.04,7949.65,7957.96098800604,"ETS(M,N,N)"
"06/02/2009",8054.27,8169.04,8033.24,8076.62,8060.76890778388,"ETS(M,N,N)"
"09/02/2009",8178.07,8257.71,7969.03,7969.03,7980.99100209963,"ETS(M,N,N)"
"10/02/2009",8066.94,8124.79,7917.27,7945.94,7949.72158066327,"ETS(M,N,N)"
"12/02/2009",7842.53,7862.52,7685.68,7705.36,7733.04788048348,"ETS(M,N,N)"
"13/02/2009",7789.35,7887.74,7730.27,7779.4,7773.965217774,"ETS(M,N,N)"
"16/02/2009",7732.68,7804.24,7694.73,7750.17,7753.20415297338,"ETS(M,N,N)"
"17/02/2009",7690.13,7710.43,7615.94,7645.51,7661.70041292719,"ETS(M,N,N)"
"18/02/2009",7539.96,7565.79,7479.18,7534.44,7551.72877250301,"ETS(M,N,N)"
"19/02/2009",7604.22,7642.69,7537.56,7557.65,7556.86438773267,"ETS(M,N,N)"
"20/02/2009",7544.07,7554.7,7382.33,7416.38,7432.41506763569,"ETS(M,N,N)"
"23/02/2009",7314.3,7417.18,7209.43,7376.16,7385.06669614732,"ETS(M,N,N)"
"24/02/2009",7266.68,7270.9,7155.16,7268.56,7288.98940048942,"ETS(M,N,N)"
"25/02/2009",7368.44,7471.03,7330.44,7461.22,7417.91316678545,"ETS(M,N,N)"
"26/02/2009",7470.6,7599.81,7433.06,7457.93,7445.31182470521,"ETS(M,N,N)"
"27/02/2009",7463.42,7589.77,7414.4,7568.42,7548.15031722625,"ETS(M,N,N)"
"02/03/2009",7454.28,7454.28,7234.96,7280.15,7338.8587668284,"ETS(M,N,N)"
"03/03/2009",7177.79,7288.14,7088.47,7229.72,7246.83919003143,"ETS(M,N,N)"
"04/03/2009",7146.71,7320.65,7104.63,7290.96,7282.84445354612,"ETS(M,N,N)"
"05/03/2009",7336.02,7532.87,7336.02,7433.49,7395.80822443605,"ETS(M,N,N)"
"06/03/2009",7328.29,7328.29,7167.07,7173.1,7239.36640273339,"ETS(M,N,N)"
"09/03/2009",7191.13,7241.02,7028.49,7086.03,7103.23688806247,"ETS(M,N,N)"
"10/03/2009",7059.77,7100.77,7021.28,7054.98,7060.0223765335,"ETS(M,N,N)"
"11/03/2009",7165.39,7393.81,7161.85,7376.12,7098.38151530104,"ETS(A,A,N)"
"12/03/2009",7320.45,7345.02,7198.25,7198.25,7071.69790975804,"ETS(M,M,N)"
"13/03/2009",7301.12,7571.45,7300.87,7569.28,7467.32417141146,"ETS(A,N,N)"
"16/03/2009",7630.2,7754.75,7630.2,7704.15,7656.74067708124,"ETS(A,N,N)"
"17/03/2009",7767.34,7967.03,7723.94,7949.13,7912.7452784166,"ETS(A,N,N)"
"18/03/2009",8006.86,8054.35,7895.28,7972.17,7966.05875143486,"ETS(A,N,N)"
"19/03/2009",8017.93,8034.09,7902.49,7945.96,7948.12992949469,"ETS(A,N,N)"
"23/03/2009",7943.14,8229.13,7922.55,8215.53,8189.12713361108,"ETS(A,N,N)"
